State,Year,Energy_type,Generation_MU,Capacity_MW,Potential_MW,Avg_Generation_MW,CUF,Potential_Capacity_Gap_MW,Generation_Potential_Utilization
Maharashtra,2016,Waste,0.30,12.72,0.00,0.03470319635,0.002728238707,-12.72,0.00%
Punjab,2008,Solar,0.30,0.32,0.00,0.03436073059,0.1073772831,-0.32,0.00%
Punjab,2009,Solar,0.30,0.32,0.00,0.03436073059,0.1073772831,-0.32,0.00%
Andaman And Nicobar Islands,2008,Solar,0.25,0.10,0.00,0.02842465753,0.2842465753,-0.10,0.00%
Andaman And Nicobar Islands,2009,Solar,0.25,0.10,0.00,0.02842465753,0.2842465753,-0.10,0.00%
Andaman And Nicobar Islands,2010,Solar,0.25,0.10,0.00,0.02842465753,0.2842465753,-0.10,0.00%
Andaman And Nicobar Islands,2011,Solar,0.25,0.10,0.00,0.02842465753,0.2842465753,-0.10,0.00%
Maharashtra,2013,Waste,0.23,9.72,0.00,0.02648401826,0.002724693237,-9.72,0.00%
Arunachal Pradesh,2018,Solar,0.23,5.39,"8,650.00",0.02625570776,0.004871188824,"8,644.61",0.00%
Arunachal Pradesh,2016,Solar,0.22,0.27,0.00,0.02465753425,0.09304729904,-0.27,0.00%
Rajasthan,2008,Solar,0.21,0.15,0.00,0.02397260274,0.1598173516,-0.15,0.00%
Rajasthan,2009,Solar,0.21,0.15,0.00,0.02397260274,0.1598173516,-0.15,0.00%
Rajasthan,2010,Solar,0.21,0.15,0.00,0.02397260274,0.1598173516,-0.15,0.00%
Gujarat,2017,Biomass,0.00,0.00,"1,221.00",0,0,"1,221.00",0.00%
Gujarat,2019,Biomass,0.00,0.00,"1,221.00",0,0,"1,221.00",0.00%
Gujarat,2020,Biomass,0.00,0.00,"1,221.00",0,0,"1,221.00",0.00%
Gujarat,2020,Biomass,122.97,0.00,0.00,14.03812785,0,0,0.00%
Madhya Pradesh,2008,Solar,0.15,0.10,0.00,0.01746575342,0.1746575342,-0.10,0.00%
Madhya Pradesh,2009,Solar,0.15,0.10,0.00,0.01746575342,0.1746575342,-0.10,0.00%
Madhya Pradesh,2010,Solar,0.15,0.10,0.00,0.01746575342,0.1746575342,-0.10,0.00%
Madhya Pradesh,2011,Solar,0.15,0.10,0.00,0.01746575342,0.1746575342,-0.10,0.00%
Manipur,2018,Solar,0.15,0.06,"10,630.00",0.01712328767,0.2853881279,"10,629.94",0.00%
Arunachal Pradesh,2017,Solar,0.14,0.27,"8,650.00",0.01598173516,0.06030843457,"8,649.74",0.00%
Maharashtra,2011,Waste,0.14,5.72,0.00,0.01563926941,0.002734138008,-5.72,0.00%
Maharashtra,2012,Waste,0.14,5.72,0.00,0.01563926941,0.002734138008,-5.72,0.00%
Maharashtra,2010,Waste,0.14,5.70,0.00,0.01552511416,0.002723704238,-5.70,0.00%
Mizoram,2019,Solar,0.12,0.50,"9,090.00",0.01381278539,0.02762557078,"9,089.50",0.00%
Kerala,2015,Solar,0.08,0.03,"6,110.00",0.008789954338,0.3515981735,"6,109.98",0.00%
Andhra Pradesh,2008,Solar,0.05,0.10,0.00,0.005593607306,0.05593607306,-0.10,0.00%
Andhra Pradesh,2009,Solar,0.05,0.10,0.00,0.005593607306,0.05593607306,-0.10,0.00%
Andhra Pradesh,2010,Solar,0.05,0.10,0.00,0.005593607306,0.05593607306,-0.10,0.00%
West Bengal,2008,Solar,0.04,0.05,0.00,0.004566210046,0.09132420091,-0.05,0.00%
West Bengal,2009,Solar,0.04,0.05,0.00,0.004566210046,0.09132420091,-0.05,0.00%
Andaman And Nicobar Islands,2012,Solar,0.03,0.01,0.00,0.002853881279,0.2853881279,-0.01,0.00%
Maharashtra,2008,Waste,0.02,1.00,0.00,0.002739726027,0.002739726027,-1.00,0.00%
Tamil Nadu,2008,Solar,0.02,0.05,0.00,0.002739726027,0.05479452055,-0.05,0.00%
Maharashtra,2009,Waste,0.02,1.00,0.00,0.002739726027,0.002739726027,-1.00,0.00%
Tamil Nadu,2009,Solar,0.02,0.05,0.00,0.002739726027,0.05479452055,-0.05,0.00%
Arunachal Pradesh,2010,Solar,0.02,0.03,0.00,0.002739726027,0.09132420091,-0.03,0.00%
Tamil Nadu,2010,Solar,0.02,0.05,0.00,0.002739726027,0.05479452055,-0.05,0.00%
Arunachal Pradesh,2011,Solar,0.02,0.03,0.00,0.002739726027,0.09132420091,-0.03,0.00%
Arunachal Pradesh,2012,Solar,0.02,0.03,0.00,0.002739726027,0.09132420091,-0.03,0.00%
Arunachal Pradesh,2014,Solar,0.02,0.03,0.00,0.002739726027,0.09132420091,-0.03,0.00%
Arunachal Pradesh,2015,Solar,0.02,0.03,"8,650.00",0.002739726027,0.1095890411,"8,649.98",0.00%
Arunachal Pradesh,2013,Solar,0.02,0.03,0.00,0.002283105023,0.09132420091,-0.03,0.00%
West Bengal,2015,Wind,0.02,0.00,0.00,0.002283105023,0,0,0.00%
West Bengal,2016,Wind,0.02,0.00,2.08,0.002283105023,0,2.08,0.11%
Kerala,2010,Solar,0.02,0.03,0.00,0.001940639269,0.06468797565,-0.03,0.00%
Kerala,2011,Solar,0.02,0.03,0.00,0.001940639269,0.06468797565,-0.03,0.00%
Kerala,2014,Solar,0.02,0.03,0.00,0.001940639269,0.06468797565,-0.03,0.00%
Arunachal Pradesh,2008,Solar,0.02,0.02,0.00,0.001826484018,0.09132420091,-0.02,0.00%
Arunachal Pradesh,2009,Solar,0.02,0.02,0.00,0.001826484018,0.09132420091,-0.02,0.00%
Delhi,2010,Solar,0.01,0.05,0.00,0.001598173516,0.03196347032,-0.05,0.00%
Kerala,2013,Solar,0.01,0.03,0.00,0.001598173516,0.06392694064,-0.03,0.00%
Kerala,2008,Solar,0.01,0.02,0.00,0.001255707763,0.06278538813,-0.02,0.00%
Kerala,2009,Solar,0.01,0.02,0.00,0.001255707763,0.06278538813,-0.02,0.00%
Manipur,2017,Solar,0.01,0.03,"10,630.00",0.001141552511,0.03805175038,"10,629.97",0.00%
Uttarakhand,2008,Solar,0.01,0.05,0.00,0.000799086758,0.01598173516,-0.05,0.00%
Uttarakhand,2009,Solar,0.01,0.05,0.00,0.000799086758,0.01598173516,-0.05,0.00%
Uttarakhand,2010,Solar,0.01,0.05,0.00,0.000799086758,0.01598173516,-0.05,0.00%
Uttarakhand,2011,Solar,0.01,0.05,0.00,0.000799086758,0.01598173516,-0.05,0.00%
Gujarat,2019,Biomass,80.37,0.00,0.00,9.174771689,0,0,0.00%
Andaman And Nicobar Islands,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
Gujarat,2018,Biomass,32.65,0.00,0.00,3.72716895,0,0,0.00%
Gujarat,2016,Biomass,23.28,0.00,0.00,2.657534247,0,0,0.00%
Arunachal Pradesh,2008,Waste,0.00,0.00,0.00,0,0,0,0.00%
